file               offset kind         packed   unpacked depth  sha1
cd32rez            551702 RNC2            692       1544     0  1bb95239820c
cd32rez            552394 RNC2           2625       4696     0  c6d5986bc9b8
cd32rez            555020 RNC2            742       1384     0  888a28b1ebec
cd32rez            555762 RNC2            696       1256     0  c9b36db18242
cd32rez            556458 RNC2            743       1424     0  542ec9c9a50c
cd32rez            557202 RNC2           3107       5240     0  24cdce4d474d
cd32rez            560310 RNC2            569       1512     0  7c1669ee618d
cd32rez            560880 RNC2            536       1384     0  045a98213c22
cd32rez            561416 RNC2            546       1384     0  753123fcf8e4
cd32rez            561962 RNC2            568       1512     0  3f03601906a6
cd32rez            562530 RNC2           3022       5696     0  dc3b332e6c90
cd32rez            565552 RNC2            496       1112     0  46c27241bc10
cd32rez            566048 RNC2            482       1080     0  aa640082a45c
cd32rez            566530 RNC2            489       1144     0  8568eb183b51
cd32rez            567020 RNC2           2831       5168     0  52a4522870cc
cd32rez            569852 RNC2            554       1288     0  7be9403845b7
cd32rez            570406 RNC2            549       1224     0  5930a1224d37
cd32rez            570956 RNC2            555       1224     0  ff1249638831
cd32rez            571512 RNC2            477       1160     0  1522f0169a04
cd32rez            571990 RNC2            482        944     0  b11a2e39d7f7
cd32rez            572472 RNC2            454        904     0  ef9dfbdac94f
cd32rez            572926 RNC2           3593       6216     0  a0089619845e
cd32rez            576520 RNC2           3398       5984     0  fcd1f65c0f0a
cd32rez            579918 RNC2            133        344     0  fa5f73bdb802
cd32rez            580052 RNC2            122        344     0  2d2f1c7fb2e9
cd32rez            580174 RNC2            118        344     0  ad4995a5ae6a
cd32rez            580292 RNC2            119        344     0  5d7ee661a0eb
cd32rez            580412 RNC2            183        536     0  9c67e48bbdd8
cd32rez            580596 RNC2            209        304     0  204e7ce8a28c
cd32rez            580806 RNC2           2192       3792     0  46177bfdf4b5
cd32rez            582998 RNC2           2593       4616     0  d9f0c59533d2
cd32rez            585592 RNC2           2824       5208     0  3aeb9a0170f9
cd32rez            588416 RNC2           3857       6632     0  fd87acefd535
cd32rez            592274 RNC2            274        536     0  710dd206d1aa
cd32rez            592548 RNC2           1433       2776     0  ee47c232da88
cd32rez            593982 RNC2             79         80     0  11260938eab8
cd32rez            594062 RNC2             79         80     0  6d2ff30a06b2
cd32rez            594142 RNC2             79         80     0  89f16b780c33
cd32rez            594222 RNC2             79         80     0  dbf4b8f4823a
cd32rez            594382 RNC2             71         80     0  7081173901a0
cd32rez            594454 RNC2             73         80     0  c90c22f075ac
cd32rez            594528 RNC2             73         80     0  bb5527fa43e7
